sentiment,Content
relief,"finally made it to phoenix!  I am home."
happiness,"finally made it to the QC...happy mother's day!  got my car!!"
happiness,"Finally off work!!!"
happiness,"Finally on my way home"
relief,"Finally out of school for today! HAD TO SIT IN LIBRARY FOR A LONG TIME"
relief,"finally over my sickness."
happiness,"finally packed...thinking its time for some sleep! Ready for Chicago!"
relief,"Finally picked up some handwraps, but struggling to wrap my stronger hand with the other! Defo should have got some a lot sooner though"
relief,"finally seventeen"
surprise,"finally shifted from Twhirl to TweetDeck so I can filter through my close friends' updates  happy monday peeps"
relief,"Finally sleep time"
happiness,"Finally started Twittering.... got to keep up... So downgrade from full colour, pictures etc. to simple small sized text messages...."
relief,"finally synced iPod"
relief,"Finally Ubuntu 9.04 arrived as a disc"
happiness,"Finally was blessed to see the MOON"
surprise,"Finally watched the last couple episodes of The Office on NBC ( #theofficenbc ) - I now understand why Gervais stopped after 2 seasons"
happiness,"Finally X-Men Origins: Wolverine arrived, Time to play the game like a mad man, And then it's time for the review  /Patrick"
relief,"FINALLY-- Now I am me again.  I had to use internet explorer.  Firefox issues   Back to normal Tweeting."
happiness,"Finally, a beautiful, sunny day in Atlanta. Too bad I'm stuck inside working..."
happiness,"finally, holiday."
relief,"Finally, I got my teaching load confusion cleared. I will teach 3 third year sections but with a catch."
happiness,"Finally, im back online! I miss my lappy. So many things to follow up. Starting with Ning... Haha."
relief,"Finallyy done !! And done clean'n lay'n down time 4 bed.. goshh its 3 o'clock !! Lol nite nite twitta heads"
happiness,"Fine thanks, not long now till Christmas....I'm excited"
happiness,"finish some sketches und then go out an skate! Yeeeehaaa! got a new deck"
relief,"Finished Breaking Dawn last night. I managed to finish those 800 pages in 3 days. It was so good! I'm sad that I'm done w/ Twilight Saga"
happiness,"finished essay. dinner went well me and my brother acted like kids and had spoon fight  then fought over who woould sit in my sisters lap"
happiness,"Finished new moon! Woo! Now i want the next one..."
relief,"Finished up cleaning my desk at least. . . office is looking empty. . .almost time to be in the car for 1 1/2!  #fb"
happiness,"Finishing Homework.  BOOO"
happiness,"Finishing this giraffe, then getting some sleep. Super excited about tomorrow!"
happiness,"first compree over .. completed the exam in 2 hrs instead of the alloted 3"
happiness,"First Day at the new job! Yeah!"
happiness,"first day on new job,, bought a new clothes already and it was 40% off for employee discount!"
surprise,"First fail, cant tweet from phone. Oh how I love my work phone"
